NAME	DESCRIPTION	KrasWT_1	KrasWT_2	KrasWT_3	KrasWT_4	KrasWT_5	KrasWT_6	KrasWT_7	KrasWT_8	KrasG12D_1	KrasG12D_2	KrasG12D_3	KrasG12D_4	KrasG12D_5	KrasG12D_6	KrasG12D_7	KrasG12D_8
ENSMUSG00000000001		2267.378573	2437.954717	2119.097645	2521.661588	3608.124307	2962.955609	2811.838191	3295.515534	2677.665196	2471.287247	2776.046894	2898.841771	2825.013978	3498.360363	3476.409956	3350.944756
ENSMUSG00000000028		236.8404722	209.9023054	223.3545163	177.9463496	139.7517633	240.785431	223.5045736	167.5864859	261.9083687	204.6331416	206.2692988	170.0256727	94.74895783	130.174772	70.79390559	154.4064976
ENSMUSG00000000056		488.0412573	429.3821318	462.0731586	584.8936621	392.5403279	374.1592147	572.7485517	262.6823378	487.1448868	570.8868737	444.0133008	341.4190854	460.0094397	443.1331114	445.2160609	617.663554
ENSMUSG00000000058		63.37275272	71.52729462	101.6136383	124.3212897	449.6035365	77.87537749	181.3780745	127.6362653	232.2166281	231.5584938	190.8784001	384.1199932	419.7680537	476.1014962	311.6826278	613.2220351
ENSMUSG00000000078		1668.778202	2480.120308	1073.379804	1890.6201	2501.140882	3187.478412	2016.620419	9357.200619	2463.635557	2294.65505	2300.33804	5894.022212	4525.280666	7467.808736	4569.01553	4672.592696
ENSMUSG00000000085		510.7780424	552.5024161	546.348272	499.5982347	517.599912	642.9333785	471.7871207	413.5538403	488.598882	563.9325162	651.8449981	497.2268975	726.8533304	533.7927641	580.9419332	458.4586323
ENSMUSG00000000088		2589.986283	2284.223535	3063.376638	2529.98615	2944.636432	2410.582827	2107.478662	2703.794215	2911.747512	1880.181124	1802.726041	2805.744571	2429.846413	2549.070046	2528.266973	2544.067775
ENSMUSG00000000125		66.08003962	47.79424044	52.7851713	67.59878085	11.45868455	41.59246988	114.962944	70.78312248	24.4218685	49.35918797	26.39201571	26.66252514	21.71158665	25.94457187	22.15474161	55.48951616
ENSMUSG00000000127		157.3399004	149.5760281	151.145018	189.5126618	112.1021011	186.3214883	169.2366587	123.5290274	144.9965383	142.1366477	155.7631518	122.2842343	113.3192864	161.0302804	83.76783928	158.8134812
ENSMUSG00000000131		889.7570025	1062.683931	594.8939096	592.7039089	989.2120541	1037.858869	827.9936219	1036.26051	838.4970429	1024.045276	936.9297328	756.9076207	747.8382843	899.90094	699.1121244	685.0067436
ENSMUSG00000000134		375.8925497	368.3875034	271.913403	269.7076322	433.9924972	285.4483924	468.9415505	564.2761385	192.3858184	329.1705355	284.7864977	527.5494417	337.5131252	339.4796864	568.6539835	160.6309122
ENSMUSG00000000142		2449.856128	2510.449262	1887.427848	2405.65445	1049.42347	3112.87142	3991.516741	2043.634762	1333.11639	2963.41056	3090.020186	775.8482657	2103.471345	1402.998951	1654.842861	1676.814735
ENSMUSG00000000148		136.2053369	113.1912903	148.8616063	165.3356578	59.44405279	132.9668033	153.9347855	37.21558976	160.8949988	186.409484	125.7302729	104.1170887	114.4687612	92.36258641	54.8597609	91.17979334
ENSMUSG00000000149		276.387104	228.7046444	279.8402851	512.4673777	456.4106963	240.2722657	439.346854	417.2511712	263.1770968	523.569103	337.5556896	317.535546	359.373256	367.7635249	431.6862904	345.5731738
ENSMUSG00000000154		293.5519864	273.0722959	220.1986341	361.3904935	190.588655	217.3536467	272.7029754	208.8661398	343.7061465	277.30293	186.7850378	350.9130382	359.8114273	227.8391687	228.7976115	265.1811945
ENSMUSG00000000159		490.463105	548.9488405	449.2389967	367.6999078	368.8384065	414.8098452	439.8426393	614.9316458	475.5398946	381.4056063	417.9779632	630.6913202	590.3026564	750.5968759	354.3574858	540.3948974
ENSMUSG00000000168		1049.386988	935.9718652	970.5525671	858.5722216	1016.650632	1011.383557	882.2711861	915.8851547	1050.168473	854.6333301	1032.861043	925.1945856	890.7215373	1004.849337	1297.44267	1105.350941
ENSMUSG00000000171		2682.31896	2720.143273	4081.405901	2321.19874	3647.860109	2891.814034	2117.517076	2752.279325	3194.584081	1882.466962	2429.601346	2734.116353	2702.358955	3227.160285	4324.77802	3172.007539
ENSMUSG00000000184		2792.583634	4982.289311	1992.990328	2076.607878	1636.256484	4188.985478	2530.590874	2272.776573	3302.374083	5113.137502	9031.587899	3482.792241	5246.409231	4031.059884	5373.084697	2541.555386
ENSMUSG00000000194		475.2373509	518.1401818	456.9673227	637.2874681	725.1743502	767.3145637	535.7590891	820.7793228	545.8070929	533.6073645	526.0703802	592.3375171	651.4272097	997.4948939	629.7053706	745.813917
ENSMUSG00000000204		1089.677284	2128.78699	410.6819548	182.3459011	47.92232731	2550.072152	848.2580067	2524.521381	275.1042702	599.1280661	231.0091484	312.1551737	335.8341869	1091.438934	46.90211815	317.229512
ENSMUSG00000000216		84.52907553	127.9278724	76.38099545	32.51269679	2.520725325	167.0647426	39.23339096	70.58708801	110.9947368	24.47056789	88.60693957	108.204987	73.12462679	114.6219119	81.96728926	21.19818357
ENSMUSG00000000253		158.1129731	215.128184	266.8545653	219.9922737	225.4734289	330.542787	175.9344768	129.5316261	80.62850108	221.6449689	220.5905218	158.5164749	97.51254337	275.3880283	132.2628813	76.97535159
ENSMUSG00000000266		350.1369653	403.8117853	200.0655226	315.7105073	209.5422168	316.4761111	282.3896438	359.5282674	277.0394668	286.0921438	347.262692	268.3273758	281.7039784	310.6725313	374.6390262	204.8568656
ENSMUSG00000000275		1762.214208	2527.553958	1234.03188	1510.139829	1391.794169	2563.348563	1964.62305	2380.117168	1427.494533	1893.269237	1523.589744	1584.255504	1552.757712	1927.423554	1272.87956	1745.287586
