"","KrasWT_1","KrasWT_2","KrasWT_3","KrasWT_4","KrasWT_5","KrasWT_6","KrasWT_7","KrasWT_8","KrasG12D_1","KrasG12D_2","KrasG12D_3","KrasG12D_4","KrasG12D_5","KrasG12D_6","KrasG12D_7","KrasG12D_8"
"ENSMUSG00000000001",2267.37857302273,2437.95471682984,2119.09764473788,2521.66158767552,3608.12430732415,2962.9556086305,2811.83819117294,3295.51553367651,2677.66519590617,2471.28724726269,2776.04689369669,2898.84177134906,2825.01397761728,3498.36036303255,3476.40995631754,3350.94475580483
"ENSMUSG00000000028",236.84047224014,209.902305356592,223.354516338925,177.946349603563,139.751763256401,240.785431018345,223.504573588716,167.586485879746,261.908368674266,204.633141599022,206.269298774694,170.025672651216,94.7489578343598,130.174772030841,70.7939055894915,154.4064976476
"ENSMUSG00000000056",488.041257295099,429.382131820429,462.073158645661,584.893662098529,392.540327928111,374.159214709457,572.748551694947,262.682337751044,487.144886760195,570.886873666611,444.013300841119,341.41908543887,460.009439681041,443.133111374275,445.216060932252,617.663554022549
"ENSMUSG00000000058",63.3727527248095,71.5272946162661,101.613638313295,124.321289662715,449.603536487906,77.8753774900004,181.378074457149,127.636265306725,232.216628136719,231.558493818867,190.878400090583,384.119993200761,419.768053719632,476.101496247053,311.682627824753,613.222035101903
"ENSMUSG00000000078",1668.7782017405,2480.12030829801,1073.37980403554,1890.62010006206,2501.14088160917,3187.47841205258,2016.62041911257,9357.20061947477,2463.6355574916,2294.65505038541,2300.33803959931,5894.02221225842,4525.28066573947,7467.80873605057,4569.01552991545,4672.59269566479
"ENSMUSG00000000085",510.778042407139,552.502416069603,546.348272043889,499.598234666012,517.599912014652,642.93337853781,471.787120681192,413.553840309602,488.598881991638,563.932516151767,651.844998061017,497.226897543155,726.853330393311,533.792764145368,580.941933224039,458.458632270675
"ENSMUSG00000000088",2589.98628318203,2284.22353543383,3063.3766377685,2529.98615030514,2944.63643172941,2410.58282672452,2107.47866211083,2703.79421533827,2911.74751186027,1880.18112359619,1802.72604079723,2805.74457081418,2429.84641343203,2549.07004579083,2528.26697305936,2544.06777454876
"ENSMUSG00000000125",66.0800396244115,47.7942404401669,52.7851713037415,67.5987808524164,11.4586845492595,41.5924698806058,114.962944039715,70.7831224825177,24.4218684995065,49.3591879731029,26.3920157066233,26.6625251372215,21.7115866523281,25.9445718743885,22.1547416057831,55.4895161615709
"ENSMUSG00000000127",157.33990038604,149.57602813469,151.14501799484,189.512661784151,112.1021010764,186.321488257008,169.236658706443,123.529027441284,144.996538260013,142.136647748498,155.763151750123,122.284234339495,113.319286399996,161.030280436139,83.7678392794552,158.813481183193
"ENSMUSG00000000131",889.757002540982,1062.68393088418,594.893909595081,592.703908874705,989.212054092554,1037.85886925768,827.993621903507,1036.2605095275,838.497042919783,1024.04527638501,936.929732775624,756.907620728079,747.838284274868,899.900939961407,699.112124368916,685.006743571296
"ENSMUSG00000000134",375.89254969803,368.387503397337,271.91340298492,269.707632150968,433.992497227516,285.448392395351,468.941550522979,564.276138501067,192.385818404089,329.170535529269,284.786497680255,527.549441672435,337.513125224327,339.479686436109,568.653983549953,160.630912241599
"ENSMUSG00000000142",2449.85612821218,2510.44926248642,1887.42784838597,2405.65444975558,1049.4234699081,3112.87141973221,3991.51674064768,2043.63476201525,1333.11638998151,2963.41055980435,3090.02018562786,775.848265732816,2103.47134549564,1402.99895061449,1654.8428611682,1676.81473467264
"ENSMUSG00000000148",136.205336874315,113.191290319906,148.861606310916,165.335657835558,59.4440527920246,132.966803321552,153.934785523395,37.215589757199,160.894998827558,186.409483977859,125.730272944523,104.117088714704,114.468761231442,92.3625864137247,54.8597608979072,91.1797933365679
"ENSMUSG00000000149",276.387104017842,228.704644397622,279.840285098103,512.467377694086,456.410696298654,240.272265701165,439.346853958261,417.251171229578,263.177096784648,523.569102986925,337.555689562725,317.535545950022,359.373255969729,367.763524923078,431.686290417779,345.573173760481
"ENSMUSG00000000154",293.551986405842,273.072295887781,220.198634082497,361.390493453876,190.58865498135,217.353646699971,272.70297541458,208.866139805846,343.706146483663,277.302929954406,186.785037828819,350.913038180259,359.811427316091,227.839168731948,228.79761147199,265.181194453699
"ENSMUSG00000000159",490.463104986132,548.948840519629,449.238996700089,367.699907821981,368.838406489105,414.809845177416,439.842639292841,614.931645806679,475.539894614972,381.40560633971,417.977963194047,630.691320183707,590.302656367045,750.596875906274,354.357485759603,540.394897402268
"ENSMUSG00000000168",1049.38698761069,935.971865208673,970.552567050083,858.572221570389,1016.65063191985,1011.38355711733,882.271186098957,915.885154730183,1050.16847251091,854.633330105496,1032.86104348659,925.194585628024,890.72153729521,1004.84933720387,1297.44267013302,1105.35094123367
"ENSMUSG00000000171",2682.31896041724,2720.14327295813,4081.40590091229,2321.1987398243,3647.86010925114,2891.81403413752,2117.51707586795,2752.27932464428,3194.5840811058,1882.46696173985,2429.60134602762,2734.1163527057,2702.35895458471,3227.16028509478,4324.77802017565,3172.00753933755
"ENSMUSG00000000184",2792.58363435372,4982.2893113415,1992.99032781932,2076.60787802601,1636.25648412665,4188.98547759576,2530.59087390767,2272.77657291109,3302.37408267923,5113.13750248548,9031.58789886313,3482.79224124299,5246.40923071546,4031.05988447087,5373.08469715382,2541.55538648301
"ENSMUSG00000000194",475.237350875447,518.140181767679,456.96732269972,637.287468131377,725.174350234825,767.31456370266,535.759089120663,820.779322828439,545.807092928482,533.607364507302,526.070380157585,592.337517113174,651.427209656259,997.49489386084,629.705370576246,745.813917004453
"ENSMUSG00000000204",1089.67728441103,2128.78699036495,410.681954810879,182.345901131286,47.9223273081475,2550.07215189337,848.258006678128,2524.52138094096,275.104270151433,599.128066135448,231.009148361366,312.155173710782,335.834186860405,1091.43893369488,46.9021181536016,317.229511988925
"ENSMUSG00000000216",84.5290755281242,127.927872391142,76.3809954516105,32.5126967911024,2.5207253249111,167.064742620926,39.2333909572975,70.5870880145104,110.994736798555,24.470567886067,88.6069395714653,108.204986964107,73.1246267881019,114.621911881424,81.9672892629882,21.198183566286
"ENSMUSG00000000253",158.112973102038,215.128183963454,266.854565265084,219.992273741766,225.473428880712,330.542787019155,175.934476765374,129.531626063286,80.6285010845211,221.644968901432,220.590521798883,158.516474865102,97.5125433718273,275.388028328699,132.262881302273,76.9753515879317
"ENSMUSG00000000266",350.136965283351,403.811785268947,200.065522575154,315.710507261164,209.54221676959,316.476111110022,282.389643782266,359.528267376008,277.039466787143,286.092143844036,347.262692019844,268.327375753266,281.703978376516,310.672531275394,374.639026228595,204.856865569729
"ENSMUSG00000000275",1762.2142079704,2527.55395820179,1234.03187968953,1510.13982864491,1391.79416859583,2563.34856326838,1964.62305013148,2380.11716822398,1427.49453312334,1893.26923719829,1523.58974414639,1584.25550447016,1552.75771248683,1927.42355371385,1272.87956023632,1745.28758640432
"ENSMUSG00000000276",63.4978683926617,91.2412550582208,76.4673867505559,90.304480799143,131.726949150345,94.9951932791592,110.53615377494,128.599854211541,65.5447930463383,99.711869376764,125.628135347321,92.6212876347676,131.36272970283,137.70954128876,163.609142876373,94.6849136385714
"ENSMUSG00000000278",504.884705357555,722.691161714579,450.450219570856,764.679314150757,1303.42453348401,841.982660652853,670.878486723003,705.356820987024,449.9304559105,826.97401166142,497.529458155178,741.289606099616,690.32612334107,1000.88855376033,782.370134609898,585.966918395074
"ENSMUSG00000000282",334.216119145058,371.846346943377,232.141081783264,253.145384133536,358.238056213386,357.875995323002,474.504942220606,494.932775542129,223.665796881004,266.071606581655,426.176553052578,319.588647765592,366.311563522551,348.322503963653,698.040576414038,275.393484710483
"ENSMUSG00000000290",89.6098261412437,64.8405803319414,52.3644223055173,284.859328079101,162.421681723626,36.6676083769088,157.461356562561,136.935593613186,69.473091932927,362.370062052212,138.658142317522,138.365669189243,38.6374392732091,30.337362610805,27.932020490325,32.2548490846483
