Gene stable ID,UniProtKB/Swiss-Prot ID
ENSMUSG00000037686,A0JNU3
ENSMUSG00000039201,A1A5B6
ENSMUSG00000031095,A2A432
ENSMUSG00000034931,A2A4P0
ENSMUSG00000074582,A2A5R2
ENSMUSG00000018363,A2A5Z6
ENSMUSG00000034621,A2A6A1
ENSMUSG00000020687,A2A6Q5
ENSMUSG00000042446,A2A791
ENSMUSG00000028793,A2A7Q9
ENSMUSG00000050390,A2A7S8
ENSMUSG00000033295,A2A8L5
ENSMUSG00000044700,A2A8U2
ENSMUSG00000028559,A2A8Z1
ENSMUSG00000033253,A2A9C3
ENSMUSG00000037270,A2AAE1
ENSMUSG00000040711,A2AAY5
ENSMUSG00000034255,A2AB59
ENSMUSG00000064127,A2ABV5
ENSMUSG00000028555,A2ACP1
ENSMUSG00000051557,A2ADA5
ENSMUSG00000078515,A2ADY9
ENSMUSG00000031093,A2AF47
ENSMUSG00000040412,A2AFS3
ENSMUSG00000043333,A2AGA4
ENSMUSG00000079487,A2AGH6
ENSMUSG00000057378,A2AGL3
ENSMUSG00000040506,A2AH22
ENSMUSG00000026933,A2AHC3
ENSMUSG00000037703,A2AHG0
ENSMUSG00000006471,A2AI05
ENSMUSG00000048707,A2AI08
ENSMUSG00000050323,A2AIL4
ENSMUSG00000040720,A2AIV2
ENSMUSG00000036646,A2AJ15
ENSMUSG00000036833,A2AJ88
ENSMUSG00000028849,A2AJI0
ENSMUSG00000041235,A2AJK6
ENSMUSG00000028573,A2AJL3
ENSMUSG00000028248,A2AJT4
ENSMUSG00000038368,A2AKG8
ENSMUSG00000070985,A2AKK5
ENSMUSG00000028521,A2AKQ0
ENSMUSG00000075272,A2AKQ8
ENSMUSG00000043535,A2AKX3
ENSMUSG00000057110,A2AL36
ENSMUSG00000038764,A2ALK8
ENSMUSG00000045180,A2ALU4
ENSMUSG00000070972,A2ALW5
ENSMUSG00000028496,A2AM29
ENSMUSG00000066036,A2AN08
ENSMUSG00000029055,A2AP18
ENSMUSG00000027469,A2APB8
ENSMUSG00000036053,A2APV2
ENSMUSG00000027384,A2APY7
ENSMUSG00000027304,A2AQ19
ENSMUSG00000036617,A2AQ25
ENSMUSG00000042133,A2AR02
ENSMUSG00000026768,A2ARA8
ENSMUSG00000061531,A2ARJ3
ENSMUSG00000033526,A2ARP1
ENSMUSG00000051747,A2ASS6
ENSMUSG00000026819,A2ASZ8
ENSMUSG00000068394,A2AUM9
ENSMUSG00000028369,A2AVA0
ENSMUSG00000027074,A2AVZ9
ENSMUSG00000035437,A2AWA9
ENSMUSG00000033943,A2AWL7
ENSMUSG00000040964,A2AWP8
ENSMUSG00000059995,A2AWT3
ENSMUSG00000032572,A2AX52
ENSMUSG00000074576,A2BDX3
ENSMUSG00000057421,A2BE28
ENSMUSG00000007880,A2BH40
ENSMUSG00000061751,A2CG49
ENSMUSG00000039219,A2CG63
ENSMUSG00000019951,A2RSJ4
ENSMUSG00000030313,A2RSQ0
ENSMUSG00000010453,A2RSY1
ENSMUSG00000036661,A2RT67
ENSMUSG00000029422,A2RTL5
ENSMUSG00000054958,A3KFX0
ENSMUSG00000042473,A3KGB4
ENSMUSG00000037110,A3KGS3
ENSMUSG00000035944,A3KMP2
ENSMUSG00000068245,A6H5X4
ENSMUSG00000021311,A6H5Y3
ENSMUSG00000033769,A6H5Z3
ENSMUSG00000021993,A6H611
ENSMUSG00000038611,A6H619
ENSMUSG00000061759,A6H630
ENSMUSG00000026721,A6H6A9
ENSMUSG00000038024,A6H8H2
ENSMUSG00000027242,A6PWY4
ENSMUSG00000043067,A6X919
ENSMUSG00000034112,A7L9Z8
ENSMUSG00000024251,A8C756
ENSMUSG00000030431,A9JSM3
ENSMUSG00000020916,B1AQ75
ENSMUSG00000033909,B1AQJ2
ENSMUSG00000078695,B1AR13
ENSMUSG00000069793,B1ARD6
ENSMUSG00000078570,B1ARW8
ENSMUSG00000029047,B1AUE5
ENSMUSG00000045751,B1AUR6
ENSMUSG00000039813,B1AVH7
ENSMUSG00000038844,B1AVY7
ENSMUSG00000073016,B1AVZ0
ENSMUSG00000078713,B1AXP6
ENSMUSG00000028423,B1AY10
ENSMUSG00000028514,B1AY13
ENSMUSG00000041161,B1AZ99
ENSMUSG00000055296,B1AZA5
ENSMUSG00000037475,B1AZI6
ENSMUSG00000061689,B1AZP2
ENSMUSG00000013629,B2RQC6
ENSMUSG00000050730,B2RQE8
ENSMUSG00000034653,B2RR83
ENSMUSG00000001632,B2RRD7
ENSMUSG00000036990,B2RRE7
ENSMUSG00000057614,B2RSH2
ENSMUSG00000057948,B2RUP2
ENSMUSG00000038495,B2RUR8
ENSMUSG00000055024,B2RWS6
ENSMUSG00000034610,B2RX14
ENSMUSG00000038102,B2RXC1
ENSMUSG00000052331,B2RXR6
ENSMUSG00000036606,B2RXS4
ENSMUSG00000044447,B2RY04
ENSMUSG00000010608,B2RY56
ENSMUSG00000096688,B5X0G2
ENSMUSG00000022401,B7ZMP1
ENSMUSG00000039115,B8JK39
ENSMUSG00000074746,B9EJ80
ENSMUSG00000020189,B9EJ86
ENSMUSG00000025857,B9EJR8
ENSMUSG00000030059,B9EKI3
ENSMUSG00000068748,B9EKR1
ENSMUSG00000090272,D0QMC3
ENSMUSG00000094410,D2EAC2
ENSMUSG00000102049,D2EAC2
ENSMUSG00000079235,D3YV10
ENSMUSG00000066894,D3YX43
ENSMUSG00000079003,D3YXK1
ENSMUSG00000071054,D3YXK2
ENSMUSG00000029376,D3YZG8
ENSMUSG00000048701,D3YZP9
ENSMUSG00000050989,D3Z2R5
ENSMUSG00000038132,D3Z4I3
ENSMUSG00000096199,D3Z4S3
ENSMUSG00000024184,D3Z6P0
ENSMUSG00000026103,D3Z7P3
ENSMUSG00000028001,E9PV24
ENSMUSG00000041638,E9PVA8
ENSMUSG00000027194,E9PVB5
ENSMUSG00000036862,E9PVD3
ENSMUSG00000031004,E9PVX6
ENSMUSG00000024169,E9PY46
ENSMUSG00000046574,E9PYL2
ENSMUSG00000038774,E9PZJ8
ENSMUSG00000078671,E9PZM4
ENSMUSG00000051495,E9Q1P8
ENSMUSG00000034525,E9Q286
ENSMUSG00000033671,E9Q309
ENSMUSG00000075296,E9Q3E1
ENSMUSG00000051590,E9Q3S4
ENSMUSG00000020609,E9Q414
ENSMUSG00000035569,E9Q4F7
ENSMUSG00000069729,E9Q4N7
ENSMUSG00000073643,E9Q4P1
ENSMUSG00000042010,E9Q4Z2
ENSMUSG00000054889,E9Q557
ENSMUSG00000015176,E9Q5C9
ENSMUSG00000044791,E9Q5F9
ENSMUSG00000032254,E9Q5G3
ENSMUSG00000035851,E9Q5K9
ENSMUSG00000032220,E9Q634
ENSMUSG00000084883,E9Q6B2
ENSMUSG00000061755,E9Q6J5
ENSMUSG00000059890,E9Q735
ENSMUSG00000022000,E9Q784
ENSMUSG00000033542,E9Q7D5
ENSMUSG00000033237,E9Q7E2
ENSMUSG00000066306,E9Q7G0
ENSMUSG00000034918,E9Q7P9
ENSMUSG00000029541,E9Q816
ENSMUSG00000044224,E9Q8D0
ENSMUSG00000056602,E9Q8I9
ENSMUSG00000032690,E9Q9A9
ENSMUSG00000022621,E9Q9D5
ENSMUSG00000027580,E9QAM5
ENSMUSG00000029798,F2Z461
ENSMUSG00000006005,F6ZDS4
ENSMUSG00000039456,F7BJB9
ENSMUSG00000037031,F7BWT7
ENSMUSG00000025555,F8VPU2
ENSMUSG00000022272,F8VQB6
